Denumire medicament,Substanta activa,Lista de compensare,Cod medicament,Formă farmaceutica,Cod ATC,Mod de prescriere,Concentratie,Forma de ambalare,Nume detinator APP,Tara detinator APP,Cantitate pe forma ambalare,Preț maximal al medicamentului raportat la forma de ambalare,Pret maximal al medicamentului raportat la UT,"Contributie maxima a asiguratului raportat la UT, pentru asiguratii care beneficiază de compensare 100% din prețul de referinta","Contributie maxima a asiguratului raportat la UT, pentru asiguratii care beneficiaza de compensare 90% - sublista A, 50% - sublista B, 20% - sublista D din prețul de referinta","Contribuție maxima a asiguratului raportat la UT, pentru asiguratii care beneficiază de compensare 90% din pretul de referinta, pentru pensionari cu venituri de pana la 1.299 lei/luna inclusiv"
OMEZ 40 mg,OMEPRAZOLUM,A,W64022007,CAPS. GASTROREZ.,A02BC01,P6L,40mg,CUTIE CU BLIST. PVC-PVDC/AL X 30 CAPS. GASTROREZ.,DR. REDDY'S LABORATORIES,ROMANIA,30,3305,1101666,0094042,0194805,
OMEPRAZOL AUROBINDO 40 mg,OMEPRAZOLUM,A,W66011002,CAPS. GASTROREZ.,A02BC01,P6L,40mg,CUTIE CU BLIST. PA-AL-PVC/AL X 14 CAPS. GASTROREZ.,AUROBINDO PHARMA ROMANIA S.R.L.,ROMANIA,14,843,0602142,0000000,0060215,
OMEZ 40 mg,OMEPRAZOLUM,A,W56141001,PULB. PT. SOL. PERF.,A02BC01,S/P-RF,40mg,CUTIE X 1 FLAC. DIN STICLA INCOLORA CU CAPACITATE DE 15 ML CU PULB.PT. SOL. PERF.,DR. REDDY'S LABORATORIES,ROMANIA,1,1803,18030000,1816500,3437850,
OMEPRAZOL ZENTIVA 40 mg,OMEPRAZOLUM,A,W60679001,PULB. PT. SOL. PERF.,A02BC01,S/P-RF,40mg,CUTIE X 1 FLAC. DIN STICLA CU LIOF. PT. SOL. PERF.,ZENTIVA K.S.,CEHIA,1,1801,18010000,1796500,3417850,
LEVANT 15 mg,LANSOPRAZOLUM,A,W42951001,CAPS. GASTROREZ.,A02BC03,P-6L,15mg,CUTIE X 2 BLIST. PVC-AL-PO/AL-PE X 7 CAPS. GASTROREZ.,RANBAXY UK LTD.,MAREA BRITANIE,14,729,0520714,0268808,0293999,
LEVANT 15 mg,LANSOPRAZOLUM,A,W65062001,CAPS. GASTROREZ.,A02BC03,P6L,15mg,CUTIE CU 2 BLIST. AL-PVC-PA/AL X 7 CAPS. GASTROREZ.,TERAPIA S.A.,ROMANIA,14,729,0520714,0268808,0293999,
LANZUL,LANSOPRAZOLUM,A,W03936001,CAPS. GASTROREZ.,A02BC03,P-6L,30mg,CUTIE X 2 BLIST. PVC-PE-PVDC/AL X 7 CAPS. GASTROREZ.,KRKA D.D. NOVO MESTO,SLOVENIA,14,961,0686428,0182616,0232998,
LEVANT 30 mg,LANSOPRAZOLUM,A,W42952001,CAPS. GASTROREZ.,A02BC03,P-6L,30mg,CUTIE X 2 BLIST. PVC-AL-PO/AL-PE X 7 CAPS. GASTROREZ.,RANBAXY UK LTD.,MAREA BRITANIE,14,1263,0902142,0398330,0448712,
LEVANT 30 mg,LANSOPRAZOLUM,A,W65063001,CAPS. GASTROREZ.,A02BC03,P6L,30mg,CUTIE CU 2 BLIST. AL-PVC-PA/AL X 7 CAPS. GASTROREZ.,TERAPIA S.A.,ROMANIA,14,1263,0902142,0398330,0448712,
METOCLOPRAMID,METOCLOPRAMIDUM,A,W08691002,COMPR.,A03FA01,P-6L,10mg,CUTIE X 4 BLIST. AL/PVC X 10 COMPR.,SLAVIA PHARM SRL,ROMANIA,40,624,0156000,0000000,0015600,
METOCLOPRAMID TERAPIA 10 mg,METOCLOPRAMIDUM,A,W04254002,COMPR.,A03FA01,P-6L,10mg,CUTIE X 4 BLIST. AL/PVC X 10 COMPR.,TERAPIA SA,ROMANIA,40,629,0157250,0000375,0016063,
METOCLOPRAMID LAROPHARM 10 mg,METOCLOPRAMIDUM,A,W52253001,COMPR.,A03FA01,P-6L,10mg,CUTIE CU 2 BLIST. PVC/AL X 20 COMPR.,LAROPHARM S.R.L.,ROMANIA,40,629,0157250,0000375,0016063,
METOCLOPRAMID ARENA 10 mg,METOCLOPRAMIDUM,A,W54362003,COMPR.,A03FA01,P6L,10mg,CUTIE CU 4 BLIST. PVC/AL A CATE 10 COMPR.,ARENA GROUP S.A.,ROMANIA,40,627,0156750,0000000,0015675,
METOCLOPRAMID BIOFARM 1mg/5ml,METOCLOPRAMIDUM,A,W52254001,SIROP,A03FA01,P-RF,1mg/5ml,CUTIE X 1 FLAC. DIN STICLA X 100 ML SIROP + MASURA DOZATOARE,BIOFARM S.A.,ROMANIA,1,1079,10790000,0000000,1079000,
METOCLOPRAMID TERAPIA 5mg/ml,METOCLOPRAMIDUM,A,W57360001,SOL. INJ.,A03FA01,P-RF,5mg/ml,CUTIE X 5 FIOLE DIN STICLA BRUNA PREVAZUTE CU PUNCT DE RUPERE X 2 ML,TERAPIA SA,ROMANIA,5,2203,4406000,0000000,0440600,
URSOFALK 250 mg,ACIDUM URSODEOXYCHOLICUM,A,W00187002,CAPS.,A05AA02,P6L,250mg,CUTIE X 4 BLIST. AL/PVC X 25 CAPS.,DR. FALK PHARMA GMBH,GERMANIA,100,12346,1234600,0000000,0123460,
URSOFALK 250 mg,ACIDUM URSODEOXYCHOLICUM,A,W00187001,CAPS.,A05AA02,P-6L,250mg,CUTIE X 2 BLIST. AL/PVC X 25 CAPS.,DR. FALK PHARMA GMBH,GERMANIA,50,6500,1300000,0016350,0144715,
URSOFALK 500 mg,ACIDUM URSODEOXYCHOLICUM,A,W58710002,COMPR. FILM.,A05AA02,P6L,500mg,CUTIE CU 4 BLIST. PVC-PVDC/AL X 25 COMPR.FILM.,DR. FALK PHARMA GMBH,GERMANIA,100,29053,2905300,0338000,0594730,
URSOFALK 250 mg/5 ml,ACIDUM URSODEOXYCHOLICUM,A,W58363001,SUSP. ORALA,A05AA02,P6L,250mg/5ml,CUTIE CU 1 FLAC. DIN STICLA BRUNA X 250 ML SUSP. ORALA+1LINGURITA DOZATOARE DIN PP,DR. FALK PHARMA GMBH,GERMANIA,1,10695,106950000,42767439,49185696,
LACTECON 667 g/l,LACTULOSUM,A,W64011001,LICHID ORAL,A06AD11,P6L,"66,7%",FLACON DIN PEID PREVAZUT CU MASURA DOZATOARE X 200 ML,BGP PRODUCTS B.V.,OLANDA,1,1168,11680000,3773485,4564137,
LACTECON 667 g/l,LACTULOSUM,A,W64559001,LICHID ORAL,A06AD11,P6L,"66,7%",FLACON DIN PEID PREVAZUT CU MASURA DOZATOARE X 200 ML,MYLAN HEALTHCARE B.V.,OLANDA,1,1168,11680000,3773485,4564137,
LACTULOSE EIPICO 650 mg/ml,LACTULOSUM,A,W44054002,SIROP,A06AD11,P-6L,650mg/ml,CUTIE X 1 FLACON X 300 ML,E.I.P.I.CO. MED S.R.L.,ROMANIA,1,1157,11570000,0012500,1168250,
LACTULOSE EIPICO 650 mg/ml,LACTULOSUM,A,W44054001,SIROP,A06AD11,P-6L,650mg/ml,CUTIE X 1 FLACON X 100 ML,E.I.P.I.CO. MED S.R.L.,ROMANIA,1,384,3840000,0000000,0384000,
NISTATINA ATB 500000 UI,NYSTATINUM,A,W05695001,COMPR. FILM.,A07AA02,P-RF,500.000ui,CUTIE X 2 BLIST. AL/PVC X 10 COMPR. FILM.,ANTIBIOTICE SA,ROMANIA,20,2300,1150000,0000000,0115000,
SULFASALAZIN EN,SULFASALAZINUM,A,W07440001,COMPR. FILM. GASTROREZ.,A07EC01,P-6L,500mg,CUTIE X 5 BLIST. AL/PVC X 10 COMPR. FILM. GASTROREZ.,KRKA D.D. NOVO MESTO,SLOVENIA,50,3129,0625800,0000000,0062580,
SALAZIDIN GR 500 mg,SULFASALAZINUM,A,W59162002,COMPR. GASTROREZ.,A07EC01,P6L,500mg,CUTIE CU 5 BLIST. PVC/AL X 10 COMPR. GASTROREZ.,AC HELCOR PHARMA S.R.L.,ROMANIA,50,3134,0626800,0000000,0062680,
PENTASA 1 g,MESALAZINUM,A,W58461001,COMPR. CU ELIB. PREL.,A07EC02,P6L,1g,CUTIE CU 6 BLIST. AL/AL X 10 COMPR. CU ELIB. PREL.,FERRING GMBH,GERMANIA,60,20577,3429500,1707877,1880040,
PENTASA 500mg,MESALAZINUM,A,W58055001,COMPR. ELIB. PREL.,A07EC02,P-6L,500mg,CUTIE X 10 BLIST. AL/PVC X 10 COMPR. ELIB. PREL.,FERRING GMBH,GERMANIA,100,13785,1378500,0517689,0603771,
SALOFALK 250 mg COMPRIMATE GASTROREZISTENTE,MESALAZINUM,A,W04124001,COMPR. GASTROREZ.,A07EC02,P-6L,250mg,CUTIE X 10 BLIST. PVC-PVDC/AL X 10 COMPR. GASTROREZ.,DR. FALK PHARMA GMBH,GERMANIA,100,7248,0724800,0294396,0337437,
SALOFALK 500 mg COMPRIMATE GASTROREZISTENTE,MESALAZINUM,A,W04126001,COMPR. GASTROREZ.,A07EC02,P-6L,500mg,CUTIE X 10 BLIST. PVC-PVDC/AL X 10 COMPR. GASTROREZ.,DR. FALK PHARMA GMBH,GERMANIA,100,12002,1200200,0339389,0425471,
SALOFALK 500 mg COMPRIMATE GASTROREZISTENTE,MESALAZINUM,A,W04126002,COMPR. GASTROREZ.,A07EC02,P-6L,500mg,CUTIE X 5 BLIST. PVC-PVDC/AL X 10 COMPR. GASTROREZ.,DR. FALK PHARMA GMBH,GERMANIA,50,6318,1263600,0402789,0488871,
MESALAZINA SOFARFARM 800 mg,MESALAZINUM,A,W60409003,COMPR. GASTROREZISTENTE,A07EC02,P6L,800mg,CUTIE CU 8 BLIST. PVC/AL X 15 COMPR. GASTROREZISTENTE,SOFARFARM S.R.L.,ROMANIA,120,18364,1530333,0153034,0290764,
PENTASA 2 g,MESALAZINUM,A,W61355001,GRAN. ELIB. PREL.,A07EC02,P6L,2g,CUTIE CU 60 PLICURI PET/AL/PEJD X 2 G GRANULE CU ELIB. PREL.,FERRING GMBH,GERMANIA,60,40918,6819666,3376416,3720741,
PENTASA 1000mg,MESALAZINUM,A,W58054001,SUPOZ.,A07EC02,P-6L,1000mg,CUTIE X 4 BLIST. AL X 7 SUPOZ. + CUTIE PLASTIC X 28 CAUCIURI DE PROTECTIE A DEGETULUI,FERRING GMBH,GERMANIA,28,18294,6533571,0340238,0959572,
SALOFALK 1 g,MESALAZINUM,A,W56484005,SUPOZ.,A07EC02,P6L,1g,CUTIE CU FOLII TERMOSUDATE PVC/PE X 30 SUPOZ.,DR. FALK PHARMA GMBH,GERMANIA,30,18580,6193333,0000000,0619334,
SALOFALK (R) 250 mg,MESALAZINUM,A,W04125003,SUPOZ.,A07EC02,P-6L,250mg,CUTIE X 2 FOLII PVC/PE X 5 SUPOZ.,DR. FALK PHARMA GMBH,GERMANIA,10,2602,2602000,1053672,1208505,
SALOFALK 500 mg,MESALAZINUM,A,W04127003,SUPOZ.,A07EC02,P-6L,500mg,CUTIE X 2 FOLII PVC/PE X 5 SUPOZ.,DR. FALK PHARMA GMBH,GERMANIA,10,3856,3856000,0759334,1069001,
SALOFALK 4 g/ 60 ml,MESALAZINUM,A,W04128001,SUSP. RECTALA,A07EC02,P-6L,4g/60ml,CUTIE X 7 BLIST. AL/PE CONTINAND FIECARE CATE 1 FLACON UNIDOZA X 60 ML SUSPENSIE RECTALA + APLICA,DR. FALK PHARMA GMBH,GERMANIA,7,15478,22111428,0000000,2211143,
PANKREAL 35000,PANCREATINUM,A,W66550001,CAPS. GASTROREZ.,A09AA02,P6L,420mg,CUTIE CU 1 FLAC. DIN PEID INCHIS CU CAPAC DIN PP X 50 CAPS. GASTROREZ.,MYLAN HEALTHCARE GMBH,GERMANIA,50,13571,2714200,0000000,0271420,
TROMBOSTOP 2 mg,ACENOCUMAROLUM,A,W00009002,COMPR.,B01AA07,P-RF,2mg,CUTIE X 3 BLIST. AL/PVC X 10 COMPR.,TERAPIA SA,ROMANIA,30,1089,0363000,0136501,0159151,
SINTROM 4 mg,ACENOCUMAROLUM,A,W62461001,COMPR.,B01AA07,P-RF,4mg,CUTIE CU 2 BLIST. AL/PVC X 10 COMPR.,MERUS LABS LUXCO II S.A.R.L.,LUXEMBURG,20,724,0362000,0000000,0036200,
TICLODIN 250 mg,TICLOPIDINUM,A,W07616001,COMPR. FILM.,B01AC05,P6L,250mg,CUTIE X 2 BLIST. X 10 COMPR. FILM.,AC HELCOR PHARMA S.R.L.,ROMANIA,20,3805,1902500,1552347,1587363,
IPATON,TICLOPIDINUM,A,W07968001,COMPR. FILM.,B01AC05,P6L,250mg,CUTIE X 2 BLIST. AL/ PVC X 10 COMPR.FILM.,EGIS PHARMACEUTICALS P.L.C.,UNGARIA,20,1379,0689500,0339347,0374363,
FITOMENADION TERAPIA 10 mg/ml,PHYTOMENADIONUM,A,W05001002,SOL. INJ.,B02BA01,S/P-RF,10mg/ml,CUTIE X 5 FIOLE PREVAZUTE CU PUNCT DE RUPERE X 1 ML,TERAPIA SA,ROMANIA,5,2686,5372000,0000000,0537200,
SORBIFER DURULES 100 mg+60 mg,COMBINATII (FERROSI SULFAS+ACIDUM ASCORBICUM),A,W10038010,COMPR. FILM.,B03AA07,P6L,100mg+60mg,"CUTIE CU 1 FLAC. DIN STICLA BRUNA, AVAND CAPAC DIN PE CU COMPENSATOR X 120 COMPR. FILM.",EGIS PHARMACEUTICALS P.L.C.,UNGARIA,120,3731,0310916,0000000,0031092,
FERROGRADUMET 105 mg,FERROSI SULFAS,A,W43097001,COMPR. ELIB. PREL.,B03AA07,P-6L,105mg,CUTIE CU 3 BLIST. PVC/AL X 10 COMPR. ELIB. PREL.,TEOFARMA SRL,ITALIA,30,904,0301333,0000000,0030134,
TARDYFERON 80 mg,FERROSI SULFAS,A,W08016001,COMPR. ELIB. PREL.,B03AA07,P-6L,80mg,CUTIE X 3 BLIST. PVC-PVDC/AL X 10 COMPR. ELIB. PREL.,PIERRE FABRE MEDICAMENT,FRANTA,30,1240,0413333,0158765,0184222,
MALTOFER 100 mg,COMPLEX DE HIDROXID DE FER (III) POLIMALTOZAT,A,W44026001,COMPR. MAST.,B03AB05,P-6L,100mg,CUTIE X 3 BLIST. AL/PA-AL-PVC X 10 COMPR. MASTIC.,VIFOR FRANCE S.A.,FRANTA,30,2801,0933666,0226533,0297247,
FERGLUROM 50 mg/ml,COMPLEX DE HIDROXID DE FER (III) POLIMALTOZAT,A,W54079001,"PICATURI ORALE, SOL.",B03AB05,P-6L,50mg/ml,"CUTIE CU 1 FLAC. DIN STICLA BRUNA, DE CLASA HIDROLITICA III, PREVAZUT CU PICURATOR DIN PE X 30 ML PICATURI ORALE, SOL.",BIOFARM S.A.,ROMANIA,1,1233,12330000,0000000,1233000,
FERRUM HAUSMANN 50 mg/ml,COMPLEX DE HIDROXID DE FER (III) POLIMALTOZAT,A,W51228001,PICATURI ORALE-SOL.,B03AB05,P-6L,50mg/ml,"CUTIE CU 1 FLAC. DE STICLA BRUNA, CU DOP PICURATOR DIN PEJD X 30 ML PIC. ORALE, SOL.",VIFOR FRANCE S.A.,FRANTA,1,1712,17120000,1197500,2789750,
FERRUM HAUSMANN 10 mg/ml,COMPLEX DE HIDROXID DE FER (III) POLIMALTOZAT,A,W51231001,SIROP,B03AB05,P-6L,10mg/ml,"CUTIE CU 1 FLAC. DIN STICLA BRUNA, CU DOP PICURATOR DIN PE + O MASURA DOZATOARE X 150 ML SIROP",VIFOR FRANCE S.A.,FRANTA,1,2435,24350000,8427500,10019750,
FERGLUROM 50mg/5ml,COMPLEX DE HIDROXID DE FER (III) POLIMALTOZAT,A,W52797001,SIROP,B03AB05,P-6L,50mg/5ml,"CUTIE CU 1 FLAC. DIN STICLA BRUNA, DE CLASA HIDROLITICA III, CU CAPACITATEA DE 100 ML + MASURA DOZATOARE GRADATA DE LA 2,5 - 20 ML X 100 ML SIROP",BIOFARM S.A.,ROMANIA,1,1233,12330000,1715000,2776500,
ACIFOL 5 mg,ACIDUM FOLICUM,A,W42875001,COMPR. FILM.,B03BB01,P-6L,5mg,CUTIE X 1 FLAC. DIN PEID X 30 COMPR. FILM.,ZENTIVA S.A.,ROMANIA,30,1807,0602333,0000000,0060234,
"DIGOXIN ZENTIVA 0,25 mg",DIGOXINUM,A,W58535002,COMPR.,C01AA05,P-RF,"0,25mg",CUTIE X 1 BLIST. AL/PVC X 25 COMPR.,ZENTIVA S.A.,ROMANIA,25,743,0297200,0007650,0036605,
"DIGOXIN LECIVA 0,25 mg",DIGOXINUM,A,W66390001,COMPR.,C01AA05,PRF,"0,25mg",CUTIE CU 1 BLISTER X 30 COMPR.,S.C. ZENTIVA S.A.,ROMANIA,30,861,0287000,0000000,0028700,
"DIGOXIN ZENTIVA 0,5 mg/2ml",DIGOXINUM,A,W60427001,SOL. INJ.,C01AA05,P-RF,"0,5mg/2ml",CUTIE X 5 FIOLE DIN STICLA INCOLORA CU INEL DE RUPERE SAU CU PUNCT DE RUPERE SAU CU INEL DE RUPERE SI DOUA INELE (ROSU SI PORTOCALIU)X 2 ML SOL. INJ.,ZENTIVA S.A.,ROMANIA,5,1769,3538000,0000000,0353800,
PROPAFENONA ARENA 150 mg,PROPAFENONUM,A,W56891002,COMPR.,C01BC03,P-RF,150mg,CUTIE X 2 BLIST. AL/PVC X 10 COMPR.,ARENA GROUP SA,ROMANIA,20,730,0365000,0012500,0047750,
PROPAFENONA ARENA 150 mg,PROPAFENONUM,A,W56891004,COMPR.,C01BC03,P-RF,150mg,CUTIE X 10 BLIST. AL/PVC X 10 COMPR.,ARENA GROUP SA,ROMANIA,100,3525,0352500,0000000,0035250,
PROPAFENONA AL 150 mg,PROPAFENONUM,A,W12499003,COMPR. FILM.,C01BC03,P-RF,150mg,CUTIE X 4 BLIST. X 25 COMPR. FILM.,ALIUD® PHARMA GMBH & CO.KG,GERMANIA,100,3525,0352500,0000000,0035250,
RYTMONORM 150 mg,PROPAFENONUM,A,W62345001,COMPR. FILM.,C01BC03,PRF,150mg,CUTIE X 5 BLIST. PVC/AL X 10 COMPR. FILM.,MYLAN HEALTHCARE GMBH,GERMANIA,50,2801,0560200,0207700,0242950,
RYTMONORM 70 mg/20 ml,PROPAFENONUM,A,W62339001,SOL. INJ.,C01BC03,PRF,70mg/20ml,CUTIE X 5 FIOLE DIN STICLA INCOLORA X 20 ML SOL. INJ.,MYLAN HEALTHCARE GMBH,GERMANIA,5,5517,11034000,0000000,1103400,
CORDARONE 200 mg,AMIODARONUM,A,W06951001,COMPR.,C01BD01,P-RF,200mg,CUTIE X 3 BLIST. AL/PVC X 10 COMPR. DIVIZ.,SANOFI-AVENTIS FRANCE,FRANTA,30,1481,0493666,0125750,0162542,
AMIODARONA LPH 200 mg,AMIODARONUM,A,W00311002,COMPR.,C01BD01,P-RF,200mg,CUTIE X 3 BLIST. AL/PVC X 10 COMPR.,LABORMED PHARMA SA,ROMANIA,30,978,0326000,0000000,0032600,
AMIODARONA ARENA 200 MG,AMIODARONUM,A,W53954002,COMPR.,C01BD01,P-RF,200mg,CUTIE X 3 BLIST. AL/PVC X 10 COMPR.,ARENA GROUP SA,ROMANIA,30,815,0271666,0000000,0027167,
CORDARONE 200 mg,AMIODARONUM,A,W06951002,COMPR.,C01BD01,P-RF,200mg,CUTIE CU 2 BLIST. PVC/AL X 15 COMPR.,SANOFI-AVENTIS FRANCE,FRANTA,30,1481,0493666,0125750,0162542,
CORDARONE 200 mg,AMIODARONUM,A,W64483001,COMPR.,C01BD01,PRF,200mg,CUTIE CU 3 BLIST. PVC/AL X 10 COMPR.,SANOFI ROMANIA S.R.L.,ROMANIA,30,1481,0493666,0125750,0162542,
CORDARONE 200 mg,AMIODARONUM,A,W64483002,COMPR.,C01BD01,PRF,200mg,CUTIE CU 2 BLIST. PVC/AL X 15 COMPR.,SANOFI ROMANIA S.R.L.,ROMANIA,30,1481,0493666,0125750,0162542,
"NITROMINT 2,6 mg",NITROGLYCERINUM,A,W04591002,COMPR. ELIB. PREL.,C01DA02,P-6L,"2,6mg",CUTIE X 1 FLAC. X 60 COMPR. ELIB. PREL.,EGIS PHARMACEUTICALS P.L.C.,UNGARIA,60,1094,0182333,0000000,0018234,
"NITROGLICERINA 0,5 mg",NITROGLYCERINUM,A,W42792002,COMPR. SUBLING.,C01DA02,P-6L,"0,5mg",CUTIE X 2 BLIST. PVC-PVDC/AL X 10 COMPR. SUBLINGUALE,ZENTIVA SA,ROMANIA,20,857,0428500,0335167,0344501,
NITRODERM TTS 5 mg/24 ore,NITROGLYCERINUM,A,W04587001,PLASTURE TRANSDERMIC,C01DA02,P-6L,25mg,CUTIE X 10 PLICURI X 1 SIST. TERAPEUTIC TRANSDERMIC,NOVARTIS PHARMA GMBH,GERMANIA,10,1641,1641000,0000000,0164100,
NITROMINT,NITROGLYCERINUM,A,W07257001,SPRAY SUBLINGUAL,C01DA02,P-6L,"0,4mg/doza",CUTIE X 1 FLACON X 10G (180 DOZE) SPRAY SUBLINGUAL,EGIS PHARMACEUTICALS P.L.C.,UNGARIA,1,1344,13440000,0000000,1344000,
